sweep_target,sweep_stat,sweep_value,runs,completed,timeouts,attacker_wins,defender_wins,ties,avg_ticks,avg_seconds,avg_damage_per_tick,hit_rate,miss_rate,parry_rate,dodge_rate,block_rate
attacker,armor,100,200,200,0,185,15,0,9.7500,2.4375,3.5390,0.5063,0.4937,0.0000,0.0097,0.0000
attacker,armor,95,200,200,0,185,15,0,10.8450,2.7113,3.2176,0.4642,0.5358,0.0000,0.0120,0.0000
attacker,armor,90,200,200,0,182,18,0,10.1650,2.5412,3.3768,0.4851,0.5149,0.0000,0.0116,0.0000
attacker,armor,85,200,200,0,192,8,0,10.2350,2.5587,3.3073,0.4621,0.5379,0.0000,0.0100,0.0000
attacker,armor,80,200,200,0,193,7,0,10.0100,2.5025,3.3152,0.4576,0.5424,0.0000,0.0105,0.0000
attacker,armor,75,200,200,0,198,2,0,10.1750,2.5438,3.1897,0.4396,0.5604,0.0000,0.0088,0.0000
attacker,armor,70,200,200,0,194,6,0,9.7100,2.4275,3.2472,0.4360,0.5640,0.0000,0.0089,0.0000
attacker,armor,65,200,200,0,200,0,0,10.1300,2.5325,3.0415,0.4047,0.5953,0.0000,0.0117,0.0000
attacker,armor,60,200,200,0,198,2,0,10.7100,2.6775,2.9258,0.3967,0.6033,0.0000,0.0130,0.0000
attacker,armor,55,200,200,0,199,1,0,10.2800,2.5700,2.9339,0.3821,0.6179,0.0000,0.0105,0.0000
attacker,armor,50,200,200,0,200,0,0,10.5100,2.6275,2.8582,0.3841,0.6159,0.0000,0.0085,0.0000
attacker,armor,45,200,200,0,200,0,0,9.8500,2.4625,2.8929,0.3679,0.6321,0.0000,0.0075,0.0000
attacker,armor,40,200,200,0,199,1,0,10.5150,2.6288,2.7413,0.3571,0.6429,0.0000,0.0112,0.0000
attacker,armor,35,200,200,0,200,0,0,10.5900,2.6475,2.6294,0.3367,0.6633,0.0000,0.0097,0.0000
attacker,armor,30,200,200,0,200,0,0,10.1100,2.5275,2.7463,0.3452,0.6548,0.0000,0.0091,0.0000
